Transaction ID,Fixture type,Model,Model #,S/N,image,Real S/N,,,
01AAACM8,Google Chromecast,GZRNL,GA01433,29281HFGN33Z49,,29281HFGN33Z49,,,
01AAACM7,Google Voice Remote,G9N9N,GA01409,26161HFAK7KDKJ,,26161HFAK7KDKJ,,,
01AAACM6,Google Chromecast,GZRNL,GA01433,28241HFGN28Z7D,,28241HFGN28Z7D,,,
01AAACM5,Google Chromecast,GZRNL,GA01433,28241HFGN28Z7D,,28241HFGN28Z7D,,,
01AAACM4,Google Voice Remote,G9N9N,GA01409,2A011QUH1000HL,,2A011QUH1000HL,,,
01AAACM3,Google Chromecast,GZRNL,GA01433,28171HFDD7NZ9C,,28171HFDD7NZ9C,,,
01AAACM2,Google Voice Remote,G9N9N,GA01409,28251HFAK8RE44,,28251HFAK8RE44,,,
01AAACM1,Google Chromecast,GZRNL,GA01433,28111HFGN2378U,,28111HFGN2378U,,,
01AAACM0,Google Voice Remote,G9N9N,GA01409,27121HFAK81AVD,,27121HFAK81AVD,,,
01AAACMZ,Google Chromecast,GZRNL,GA01433,28241HFGN2983J,,28241HFGN2983J,,,
01AAACMY,Google Voice Remote,G9N9N,GA01409,28261HFAK8SOHO,,28261HFAK8SOHO,,,
01AAACMX,Google Chromecast,GZRNL,GA01433,29181HFGN2YMCX,,29181HFGN2YMCX,,,
01AAACMW,Google Voice Remote,G9N9N,GA01409,29071HFAK8ZQA2,,29071HFAK8ZQA2,,,
01AAACMV,Google Chromecast,GZRNL,GA01433,2A271HFGN3FJGP,,2A271HFGN3FJGP,,,
01AAACMU,Google Chromecast,GZRNL,GA01433,N/A,,2A271HFGN3FJGP,,,
01AAACMT,Google Chromecast,GZRNL,GA01433,N/A,,2A271HFGN3FJGP,,,
01AAACMS,Google Chromecast,GZRNL,GA01433,N/A,,2A271HFGN3FJGP,,,
01AAACMR,Google Voice Remote,G9N9N,GA01409,21211HFAK5VKG8,,21211HFAK5VKG8,,,
01AAACMQ,Google Chromecast,GZRNL,GA01433,28271HFGN2BDJD,,28271HFGN2BDJD,,,
01AAACMP,Google Voice Remote,G9N9N,GA01409,28291QUH1201V9,,28291QUH1201V9,,,
01AAACMO,Google Chromecast,GZRNL,GA01433,28271HFGN2AXAF,,28271HFGN2AXAF,,,
01AAACMN,Google Voice Remote,G9N9N,GA01409,1C081HFAK5EVF1,,1C081HFAK5EVF1,,,
